strain	genbank	date	country	region	division	location	length	host	host_type	lineage	authors	date_submitted
PP_0047HY2.2	PP_0047HY2.2	2023-07-10	Cote d'Ivoire				15219		Unknown	B.D.E.1	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_0047HQJ.2	PP_0047HQJ.2	2023-06-12	Cote d'Ivoire				15219		Unknown	B.D.E.1	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_0047JE4.2	PP_0047JE4.2	2023-08-16	Cote d'Ivoire				15219		Unknown	B.D.E.1	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_0047JHX.2	PP_0047JHX.2	2023-08-23	Cote d'Ivoire				15218		Unknown	B.D.E.1.8	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_0047KX2.2	PP_0047KX2.2	2019-01-27	Egypt				15269		Unknown	B.D.4.1.1	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_0047KV6.2	PP_0047KV6.2	2019-01-08	Egypt				15252		Unknown	B.D.4.1	Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde	2025-09-24
PP_002TQMC.1	PP_002TQMC.1	2017-12-24	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U18S.1	PP_002U18S.1	2017-12-27	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TZTR.1	PP_002TZTR.1	2017-12-22	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TS2F.1	PP_002TS2F.1	2017-12-28	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TQZN.1	PP_002TQZN.1	2017-12-25	Finland				15221	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TLYU.1	PP_002TLYU.1	2017-12-14	Finland				15219	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U4G7.1	PP_002U4G7.1	2018-02-09	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TQA1.1	PP_002TQA1.1	2018-01-23	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TYRW.1	PP_002TYRW.1	2018-02-02	Finland				15223	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TSCV.1	PP_002TSCV.1	2018-01-03	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TTM9.1	PP_002TTM9.1	2018-04-05	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TRMB.1	PP_002TRMB.1	2018-02-27	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TMND.1	PP_002TMND.1	2018-03-16	Finland				15222	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U009.1	PP_002U009.1	2018-01-23	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U1Z9.1	PP_002U1Z9.1	2018-03-03	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TNQ8.1	PP_002TNQ8.1	2018-03-19	Finland				15222	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TUWQ.1	PP_002TUWQ.1	2018-02-10	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U0EF.1	PP_002U0EF.1	2018-01-25	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TXUR.1	PP_002TXUR.1	2018-01-18	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TY45.1	PP_002TY45.1	2019-04-18	Finland				15223	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U4AK.1	PP_002U4AK.1	2019-04-08	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U231.1	PP_002U231.1	2019-05-03	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TQ5B.1	PP_002TQ5B.1	2019-03-22	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TSJG.1	PP_002TSJG.1	2019-05-03	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TWGH.1	PP_002TWGH.1	2020-02-14	Finland				15225	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TPS3.1	PP_002TPS3.1	2020-01-21	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U3LZ.1	PP_002U3LZ.1	2020-02-06	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U49M.1	PP_002U49M.1	2020-02-08	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TYSU.1	PP_002TYSU.1	2020-02-02	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TSER.1	PP_002TSER.1	2020-02-03	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TS59.1	PP_002TS59.1	2020-01-29	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TZM3.1	PP_002TZM3.1	2020-02-21	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TNPA.1	PP_002TNPA.1	2020-02-19	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TTUV.1	PP_002TTUV.1	2020-03-06	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U0YC.1	PP_002U0YC.1	2020-02-26	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TSQ4.1	PP_002TSQ4.1	2020-01-30	Finland				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TV9Y.1	PP_002TV9Y.1	2020-02-11	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TPR5.1	PP_002TPR5.1	2020-01-21	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U1SP.1	PP_002U1SP.1	2020-01-29	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TS4B.1	PP_002TS4B.1	2020-01-29	Finland				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TP0N.1	PP_002TP0N.1	2020-02-02	Finland				15221	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TLNE.1	PP_002TLNE.1	2020-03-13	Finland				15180	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TSR2.1	PP_002TSR2.1	2020-01-30	Finland				15180	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TZL5.1	PP_002TZL5.1	2018-12-21	France				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TZ44.1	PP_002TZ44.1	2018-12-20	France				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002U0UL.1	PP_002U0UL.1	2018-12-26	France				15222	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TT74.1	PP_002TT74.1	2019-12-04	France				15224	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TULA.1	PP_002TULA.1	2019-12-09	France				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TNKJ.1	PP_002TNKJ.1	2019-11-19	France				15223	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TWN4.1	PP_002TWN4.1	2019-10-15	France				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TXYH.1	PP_002TXYH.1	2019-11-18	France				15223	Homo sapiens	Human	B.D.4.1.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002TY8X.1	PP_002TY8X.1	2019-11-19	France				15223	Homo sapiens	Human	B.D.4.1	Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	2024-04-09
PP_002N564.1	PP_002N564.1	2021-04-01	France				15252	Homo sapiens	Human	B.D.4.1.3	Coppee, R.; Chenane, H. R.; Bridier-Nahmias, A.; Tcherakian, C.; Catherinot, E.; Collin, G.; Lebourgeois, S.; Visseaux, B.; Descamps, D.; Vasse, M.; Farfour, E.	2022-10-07
PP_002N572.1	PP_002N572.1	2021-04-01	France				15252	Homo sapiens	Human	B.D.4.1.3	Coppee, R.; Chenane, H. R.; Bridier-Nahmias, A.; Tcherakian, C.; Catherinot, E.; Collin, G.; Lebourgeois, S.; Visseaux, B.; Descamps, D.; Vasse, M.; Farfour, E.	2022-10-07
PP_002N59Y.1	PP_002N59Y.1	2021-04-01	France				15205	Homo sapiens	Human	B.D.4.1.3	Coppee, R.; Chenane, H. R.; Bridier-Nahmias, A.; Tcherakian, C.; Catherinot, E.; Collin, G.; Lebourgeois, S.; Visseaux, B.; Descamps, D.; Vasse, M.; Farfour, E.	2022-10-07
PP_002N580.1	PP_002N580.1	2021-04-01	France				15205	Homo sapiens	Human	B.D.4.1.3	Coppee, R.; Chenane, H. R.; Bridier-Nahmias, A.; Tcherakian, C.; Catherinot, E.; Collin, G.; Lebourgeois, S.; Visseaux, B.; Descamps, D.; Vasse, M.; Farfour, E.	2022-10-07
PP_002W42X.1	PP_002W42X.1	2023-11-25	France				15261	Homo sapiens	Human	B.D.4.1.3	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002W2QN.1	PP_002W2QN.1	2023-11-25	France				15261	Homo sapiens	Human	B.D.4.1.3	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002W2RL.1	PP_002W2RL.1	2023-11-26	France				15258	Homo sapiens	Human	B.D.4.1.3	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002W43V.1	PP_002W43V.1	2023-11-26	France				15258	Homo sapiens	Human	B.D.4.1.3	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002W5UB.1	PP_002W5UB.1	2023-12-29	France				15236	Homo sapiens	Human	B.D.4.1.3	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002W5V9.1	PP_002W5V9.1	2024-01-07	France				15216	Homo sapiens	Human	B.D.E.1	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002WFXV.1	PP_002WFXV.1	2024-04-30	France				15162	Homo sapiens	Human	B.D.E.1.8	Caillault, A.; Fourati, S.	2025-01-28
PP_002WEWY.1	PP_002WEWY.1	2024-01-21	France				15160	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002W5SF.1	PP_002W5SF.1	2024-02-01	France				15157	Homo sapiens	Human	B.D.E.1	Fourati, S.; Rameix Welti, M.-A.	2024-12-18
PP_002WFS5.1	PP_002WFS5.1	2024-01-03	France				15157	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFPB.1	PP_002WFPB.1	2024-01-02	France				15157	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFU1.1	PP_002WFU1.1	2024-01-05	France				15157	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF6C.1	PP_002WF6C.1	2024-02-14	France				15155	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFR7.1	PP_002WFR7.1	2024-01-03	France				15155	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFWX.1	PP_002WFWX.1	2024-01-08	France				15154	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF3J.1	PP_002WF3J.1	2024-02-01	France				15154	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFQ9.1	PP_002WFQ9.1	2024-01-02	France				15153	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WEXW.1	PP_002WEXW.1	2024-01-21	France				15153	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WEYU.1	PP_002WEYU.1	2024-01-23	France				15152	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF5E.1	PP_002WF5E.1	2024-02-07	France				15152	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF1N.1	PP_002WF1N.1	2024-01-30	France				15150	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WFVZ.1	PP_002WFVZ.1	2024-01-09	France				15149	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WEV0.1	PP_002WEV0.1	2024-01-11	France				15147	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF2L.1	PP_002WF2L.1	2024-01-29	France				15146	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_002WF0Q.1	PP_002WF0Q.1	2024-01-25	France				15146	Homo sapiens	Human	B.D.E.1	Caillault, A.; Fourati, S.	2025-01-28
PP_0022ZML.2	PP_0022ZML.2	2008-02-01	Germany				15183	Homo sapiens	Human	B	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.	2013-11-25
PP_0022Z5K.2	PP_0022Z5K.2	2008-03-01	Germany				15124	Homo sapiens	Human	B.D	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.	2013-08-30
PP_004JN6T.1	PP_004JN6T.1	2008-02-27	Germany				14816	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JN8P.1	PP_004JN8P.1	2008-12-29	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JN5V.1	PP_004JN5V.1	2008-01-29	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JN7R.1	PP_004JN7R.1	2008-04-01	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNUG.1	PP_004JNUG.1	2008-12-15	Germany				14813	Homo sapiens	Human	B.D.1	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNCF.1	PP_004JNCF.1	2009-04-01	Germany				14820	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNBH.1	PP_004JNBH.1	2009-03-16	Germany				14820	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNAK.1	PP_004JNAK.1	2009-02-16	Germany				14819	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JN9M.1	PP_004JN9M.1	2009-02-06	Germany				14819	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_0022Z4M.2	PP_0022Z4M.2	2009-03-01	Germany				14725	Homo sapiens	Human	B.D	Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Neumann-Haefelin, D.; Wentworth, D. E.; Henrickson, K. J.	2013-08-30
PP_002MEJ6.1	PP_002MEJ6.1	2009-02-08	Germany				15256	Homo sapiens	Human	B.D	Kondgen, S.; Reiche, J.	2024-02-13
PP_004JNG7.1	PP_004JNG7.1	2010-12-13	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNDD.1	PP_004JNDD.1	2010-02-12	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNF9.1	PP_004JNF9.1	2010-11-05	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNEB.1	PP_004JNEB.1	2010-04-08	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNVE.1	PP_004JNVE.1	2010-03-03	Germany				14813	Homo sapiens	Human	B.D.1	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNK0.1	PP_004JNK0.1	2011-04-01	Germany				14815	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNH4.1	PP_004JNH4.1	2011-01-05	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNJ2.1	PP_004JNJ2.1	2011-02-12	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNLY.1	PP_004JNLY.1	2011-04-11	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNPS.1	PP_004JNPS.1	2012-03-26	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNMW.1	PP_004JNMW.1	2012-01-09	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNNU.1	PP_004JNNU.1	2012-03-08	Germany				14813	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNXA.1	PP_004JNXA.1	2012-05-11	Germany				14813	Homo sapiens	Human	B.D.1.1	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNWC.1	PP_004JNWC.1	2012-02-15	Germany				14813	Homo sapiens	Human	B.D.1.1	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
PP_004JNTJ.1	PP_004JNTJ.1	2014-02-18	Germany				14806	Homo sapiens	Human	B.D	Le, Duyen Bao; Tometten, Inga; Lübke, Nadine; Paluschinski, Martha; Schupp, Anna-Kathrin; Ehlkes, Lutz; Kreuzer, Pascal; Zacharias, Nicole; Timm, Joerg; Dilthey, Alexander; Walker, Andreas	2026-02-10
