accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs	year	metadata_score	lineage_trunc
PP_002TV3A.1	B.D.4.1.1	2018-11-11	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15222	2024-04-09	PP377168.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377168.1			010202004	0	0	2018	6.485561670443509	B.D.4
PP_002TS75.1	B.D.4.1.1	2018-12-29	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15222	2024-04-09	PP377070.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377070.1			010202022	0	0	2018	6.485561670443509	B.D.4
PP_002TWSW.1	B.D.4.1.1	2018-12-15	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15222	2024-04-09	PP377225.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377225.1			010102017	0	0	2018	6.485561670443509	B.D.4
PP_002U0SQ.1	B.D.E.2	2018-11-26	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15222	2024-04-09	PP377361.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377361.1			010102002	0	0	2018	6.485561670443509	B.D.E
PP_002U09R.1	B.D.4.1.1	2019-02-24	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15225	2024-04-09	PP377344.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377344.1			010102041	0	0	2019	6.485755908060861	B.D.4
PP_002TZHB.1	B.D.4.1.1	2019-01-21	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15225	2024-04-09	PP377318.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9990145841545132			PP377318.1			010102032	3	0	2019	6.485755908060861	B.D.4
PP_002TKQB.1	B.D.4.1.1	2019-02-10	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15224	2024-04-09	PP376849.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP376849.1			010102040	0	0	2019	6.48569116218841	B.D.4
PP_002U2DF.1	B.D.4.1.1	2019-11-30	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377416.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377416.1			010103011	0	0	2019	6.485626416315959	B.D.4
PP_002TYN2.1	B.D.4.1.1	2019-01-02	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377289.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377289.1			010202024	0	0	2019	6.485626416315959	B.D.4
PP_002TVUT.1	B.D.4.1.1	2019-04-12	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377193.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377193.1			010202047	0	0	2019	6.485626416315959	B.D.4
PP_002U38Q.1	B.D.4.1.1	2019-01-05	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377445.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9991459729339115			PP377445.1			010202026	1	0	2019	6.485626416315959	B.D.4
PP_002U3UH.1	B.D.4.1.1	2019-01-07	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377465.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377465.1			010102026	0	0	2019	6.485626416315959	B.D.4
PP_002U1RR.1	B.D.4.1.1	2019-01-29	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377394.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377394.1			010102035	0	0	2019	6.485626416315959	B.D.4
PP_002TP4E.1	B.D.4.1.1	2019-04-02	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP376965.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP376965.1			010202046	0	0	2019	6.485626416315959	B.D.4
PP_002TWJC.1	B.D.4.1.1	2019-04-14	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377217.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377217.1			010202048	0	0	2019	6.485626416315959	B.D.4
PP_002U108.1	B.D.4.1.1	2019-03-26	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377369.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377369.1			010202044	0	0	2019	6.485626416315959	B.D.4
PP_002U44X.1	B.D.4.1.1	2019-01-08	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15223	2024-04-09	PP377475.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377475.1			010202027	0	0	2019	6.485626416315959	B.D.4
PP_002TTAY.1	B.D.4.1.1	2020-02-04	Canada		Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.	UMC Utrecht, Paediatric Infectious Diseases	Homo sapiens	15222	2024-04-09	PP377107.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992116673236106			PP377107.1			010203032	0	0	2020	6.485561670443509	B.D.4
PP_0023A3A.2	B.D.4.1	2013-07-30	China	Guangzhou	Xie, J. H.; Zhu, B.; Zhong, J. Y.; Chen, Y.; Zhang, Y. Y.	Guangzhou Women and Children's Medical Center, Central Laboratory	Homo sapiens	15276	2014-12-07	KM517573.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KM517573.1			B/GZ/13-730	0	0	2013	7.489057947555843	B.D.4
PP_002VF2N.1	B.D.4.1.1	2015-01-06	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15164	2024-11-09	PP974174.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9960583366180528			PP974174.1			15-02-1-224	1	1	2015	7.481806409841372	B.D.4
PP_002VF3L.1	B.D.4.1	2015-12-16	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15150	2024-11-09	PP974175.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9949415319931678			PP974175.1			2016-R0160	1	4	2015	7.480899967627064	B.D.4
PP_002VEYW.1	B.D.4.1.1	2016-12-18	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15183	2024-11-09	PP974170.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.997306530022336			PP974170.1			2016-R-6178	1	1	2016	7.4830365814179345	B.D.4
PP_002VFC2.1	B.D.4.1	2016-11-15	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15177	2024-11-09	PP974184.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9968466692944422			PP974184.1			2016-R6839	2	1	2016	7.48264810618323	B.D.4
PP_002VEZU.1	B.D.4.1	2016-12-16	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15162	2024-11-09	PP974171.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9957955590592563			PP974171.1			2016-R2660	3	1	2016	7.481676918096471	B.D.4
PP_002VF6E.1	B.D.4.1	2016-12-20	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15149	2024-11-09	PP974178.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9952043095519643			PP974178.1			2017-R0503	0	0	2016	7.480835221754613	B.D.4
PP_002VF0S.1	B.D.4.1.1	2016-11-03	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15149	2024-11-09	PP974172.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9951386151622651			PP974172.1			2016-R7336	0	1	2016	7.480835221754613	B.D.4
PP_002VF1Q.1	B.D.4.1	2016-12-18	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15148	2024-11-09	PP974173.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.995072920772566			PP974173.1			2016-R0596	1	0	2016	7.480770475882163	B.D.4
PP_0025XHQ.2	B.D.4.1	2016-11-14	China		Xu, L.; Xie, Z.	Beijing Pediatric Research Institute, Beijing Children's Hospital, Capital Medical University, Virus Research Group	Homo sapiens	15276	2017-07-12	KY924878.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			KY924878.1			RSVB/BCH-Y/2016	0	0	2016	6.489057947555843	B.D.4
PP_002X0Z4.1	B.D.4.1	2016-11-28	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367360.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367360.1			B-16S235	0	0	2016	6.485561670443509	B.D.4
PP_002X0PQ.1	B.D.4.1	2016-09-12	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367350.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367350.1			B-16S183	0	0	2016	6.485561670443509	B.D.4
PP_002X0RL.1	B.D.4.1	2016-10-10	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367352.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367352.1			B-16S212	0	0	2016	6.485561670443509	B.D.4
PP_002X13W.1	B.D.4.1	2016-02-22	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367364.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367364.1			B-16S049	0	0	2016	6.485561670443509	B.D.4
PP_002X0MU.1	B.D.4.1	2016-02-22	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367348.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367348.1			B-16S046	0	0	2016	6.485561670443509	B.D.4
PP_002X0QN.1	B.D.4.1	2016-03-21	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367351.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367351.1			B-16S068	0	0	2016	6.485561670443509	B.D.4
PP_002X0NS.1	B.D.4.1	2016-09-12	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367349.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367349.1			B-16S186	0	0	2016	6.485561670443509	B.D.4
PP_002X14U.1	B.D.4.1	2016-11-21	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367365.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367365.1			B-16S231	0	0	2016	6.485561670443509	B.D.4
PP_002X0H2.1	B.D.4.1.1	2016-05-09	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15221	2025-04-02	PV367344.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367344.1			B-16S113	0	0	2016	6.485496924571058	B.D.4
PP_002VF7C.1	B.D.4.1.1	2017-12-21	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15182	2024-11-09	PP974179.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.997306530022336			PP974179.1			2018-R5900	1	0	2017	7.482971835545484	B.D.4
PP_002VF4J.1	B.D.4.1	2017-02-15	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15181	2024-11-09	PP974176.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.997240835632637			PP974176.1			2017-R0791	1	0	2017	7.482907089673033	B.D.4
PP_002VF5G.1	B.D.4.1	2017-12-06	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15148	2024-11-09	PP974177.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.994547365654973			PP974177.1			2017-R0084	2	7	2017	7.480770475882163	B.D.4
PP_002KQE9.1	B.D.4.1.1	2017-03-01	China		Li, C.-X.; Li, W.; Zhou, J.; Zhang, B.; Feng, Y.; Xu, C.-P.; Lu, Y.-Y.; Holmes, E. C.; Shi, M.	Zhejiang Provincial Centre for Disease Control and Prevention, Key Laboratory of Emergency Detection for Public Health of Zhejiang Province	Homo sapiens	15276	2020-03-02	MN163126.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			MN163126.1			HRSV/04/ZJ/CHN/2017	0	0	2017	6.489057947555843	B.D.4
PP_002SCQL.1	B.D.4.1.1	2017-12-20	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15275	2023-11-04	OR666574.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666574.1			RSVB/WZ17006/ZJ/CHN/2017.12.20	0	0	2017	6.488993201683392	B.D.4
PP_002KQDB.1	B.D.4.1.1	2017-03-01	China		Li, C.-X.; Li, W.; Zhou, J.; Zhang, B.; Feng, Y.; Xu, C.-P.; Lu, Y.-Y.; Holmes, E. C.; Shi, M.	Zhejiang Provincial Centre for Disease Control and Prevention, Key Laboratory of Emergency Detection for Public Health of Zhejiang Province	Homo sapiens	15249	2020-03-02	MN163125.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			MN163125.1			HRSV/01/ZJ/CHN/2017	0	0	2017	6.487309808999676	B.D.4
PP_002SCRJ.1	B.D.4.1.1	2017-12-22	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15227	2023-11-04	OR666575.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			OR666575.1			RSVB/WZ17010/ZJ/CHN/2017.12.22	0	0	2017	6.485885399805762	B.D.4
PP_002UVM5.2	B.D.4.1	2017-08-01	China		Wang, F.; Zhao, L.; Jiang, M.; Zhou, X.	Capital Institute of Pediatrics, Laboratory of Virology	Homo sapiens	15225	2024-06-02	PP832945.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9990145841545132			PP832945.1			BJ86673	1	0	2017	6.485755908060861	B.D.4
PP_002X110.1	B.D.4.1	2017-01-03	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367362.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367362.1			B-17S008	0	0	2017	6.485561670443509	B.D.4
PP_002X102.1	B.D.4.1	2017-02-02	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15222	2025-04-02	PV367361.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367361.1			B-17S016	0	0	2017	6.485561670443509	B.D.4
PP_002X0UE.1	B.D.4.1.1	2017-02-02	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15221	2025-04-02	PV367355.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367355.1			B-17S017	0	0	2017	6.485496924571058	B.D.4
PP_002X0VC.1	B.D.4.1.1	2017-03-21	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15221	2025-04-02	PV367356.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367356.1			B-17S044	0	0	2017	6.485496924571058	B.D.4
PP_002X0X8.1	B.D.4.1.1	2017-03-02	China		Yu, Y.; Yu, X.; Cao, F.; Zheng, X.; Ao, L.; Cheng, S.; Qiu, X.; Zhou, Y.; Li, J.	Hangzhou Center for Disease Control and Prevention (Hangzhou Health Supervision Institution), Department of Microbiology Laboratory	Homo sapiens	15221	2025-04-02	PV367358.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PV367358.1			B-17S031	0	0	2017	6.485496924571058	B.D.4
PP_002SCSG.1	B.D.4.1.1	2018-03-12	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15249	2023-11-04	OR666576.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666576.1			RSVB/WZ17113/ZJ/CHN/2018.03.12	0	0	2018	6.487309808999676	B.D.4
PP_002SCW8.1	B.D.E.2	2018-11-19	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15227	2023-11-04	OR666580.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9992773617133097			OR666580.1			RSVB/WZ17266/ZJ/CHN/2018.11.19	0	0	2018	6.485885399805762	B.D.E
PP_002SCZ2.1	B.D.4.1.1	2019-01-28	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15275	2023-11-04	OR666583.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666583.1			RSVB/20190169/BJ/CHN/2019.01.28	0	0	2019	6.488993201683392	B.D.4
PP_002SD00.1	B.D.4.1.1	2019-01-28	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15249	2023-11-04	OR666584.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666584.1			RSVB/20190173/BJ/CHN/2019.01.28	0	0	2019	6.487309808999676	B.D.4
PP_002SD2W.1	B.D.4.1.1	2019-11-14	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15249	2023-11-04	OR666586.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666586.1			RSVB/20190776/BJ/CHN/2019.11.14	0	0	2019	6.487309808999676	B.D.4
PP_002SCX6.1	B.D.4.1.1	2019-01-24	China		Li, F.; Zhu, Y.; Chen, X.	Beijing Children's Hospital, Capital Medical University, Laboratory of Infection and Virology	Homo sapiens	15249	2023-11-04	OR666581.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			OR666581.1			RSVB/20190152/BJ/CHN/2019.01.24	0	0	2019	6.487309808999676	B.D.4
PP_002VFA6.1	B.D.E.2	2019-02-19	China	Beijing	Wei, X.; Wang, L.; Li, M.; Qi, J.; Kang, L.; Hu, G.; Gong, C.; Wang, C.; Wang, Y.; Huang, F.; Gao, G. F.	Beijing Center for Disease Prevention and Control, Immunological Prevention	Homo sapiens	15183	2024-11-09	PP974182.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.997306530022336			PP974182.1			2019-R0638	2	0	2019	7.4830365814179345	B.D.E
